84	64	30	60	30
57	36	71	96	24
64	22	1	45	94
88	59	92	65	78
57	21	95	85	38
39	90	86	4	39
22	46	28	75	76
8	13	66	100	17
12	27	5	58	14
79	28	88	19	99
68	90	43	6	73
6	3	58	62	34
19	26	20	98	73
10	82	5	48	12
7	54	4	23	57
36	99	51	47	90
5	77	36	30	35
47	48	19	77	44
38	16	23	8	98
30	82	15	75	28
32	60	61	17	47
48	47	56	91	20
47	32	53	93	21
86	97	88	5	48
9	39	88	81	26
52	58	31	77	89
97	30	28	72	43
16	72	11	93	60
18	23	61	40	61
85	72	56	34	23
78	88	20	36	67
18	12	72	50	33
9	59	95	76	90
36	78	89	64	69
96	33	30	62	26
40	76	11	18	1
25	32	15	3	56
24	39	29	83	55
87	81	26	51	50
8	60	74	30	69
92	68	69	2	96
63	59	25	15	40
62	13	38	77	27
59	31	55	53	39
16	62	28	87	8
51	44	60	86	96
27	75	17	47	14
93	46	59	100	63
12	27	7	98	44
74	61	52	9	48
4	89	89	41	5
95	41	91	66	21
20	47	15	77	25
2	21	13	57	40
34	36	50	33	68
97	43	11	72	35
17	2	56	1	63
77	33	61	68	9
9	63	99	95	23
74	83	11	25	98
95	30	17	64	35
25	37	37	32	99
8	62	64	44	32
49	58	29	64	28
49	26	86	98	28
98	57	37	49	27
36	33	96	46	30
28	99	15	11	82
95	21	18	18	15
79	24	12	20	89
53	26	3	47	3
28	26	59	42	5
50	71	54	7	25
80	63	77	64	53
17	22	55	78	35
55	40	3	68	55
14	25	28	97	77
100	21	80	35	59
64	91	11	48	44
4	31	43	90	86
57	44	16	87	90
14	73	18	66	100
54	58	70	20	27
18	79	13	11	10
38	65	78	91	24
2	81	89	9	82
89	36	75	86	70
16	35	86	100	96
99	98	83	83	66
29	88	63	16	73
32	94	37	46	53
12	100	99	74	33
69	48	57	59	82
96	9	95	81	42
1	79	47	71	50
77	3	76	52	33
60	55	97	82	6
57	70	29	65	36
87	30	20	76	80
88	87	89	12	66
39	95	34	90	22
62	72	61	28	2
87	28	17	96	90
74	67	56	12	67
11	79	52	94	82
85	51	46	29	83
21	75	76	63	24
82	62	98	42	25
90	13	37	86	100
77	74	87	46	13
91	63	64	76	48
99	34	53	42	99
30	15	72	89	36
47	17	100	18	6
63	37	58	73	4
3	32	6	78	15
93	60	70	80	90
55	20	65	90	59
92	5	13	71	75
2	6	45	7	15
16	86	73	57	42
15	58	76	23	88
87	26	18	85	89
83	96	88	63	25
87	91	85	23	8
17	71	33	100	81
99	26	53	81	89
11	82	69	16	3
18	65	80	60	38
69	58	20	34	8
45	13	58	76	5
28	73	6	19	52
42	98	76	56	7
39	44	54	58	43
4	38	60	2	8
5	32	83	69	96
82	93	26	22	79
56	17	2	70	94
75	91	34	95	11
96	65	72	70	50
84	82	80	80	24
25	63	7	76	58
67	16	90	54	27
10	99	38	57	81
47	33	60	25	19
89	36	70	83	2
94	93	75	92	52
32	39	83	7	58
46	23	41	43	22
93	72	95	68	41
55	26	2	78	61
77	56	31	21	48
80	28	67	68	46
30	40	86	85	88
24	73	75	73	15
59	35	87	66	36
61	40	50	4	79
19	71	92	61	2
31	10	52	2	69
9	69	32	57	73
70	4	92	9	78
65	67	12	2	3
30	80	7	75	74
18	91	67	70	6
24	41	98	45	94
6	73	8	5	88
37	76	72	11	58
96	60	59	77	51
37	83	60	42	76
34	29	78	100	26
15	96	6	51	1
80	60	41	48	55
100	16	25	21	92
31	75	83	84	71
23	100	79	56	59
71	99	11	35	96
9	63	38	65	88
72	16	34	37	94
53	88	51	19	37
78	50	64	35	36
95	75	48	37	76
17	30	83	79	12
67	15	14	93	38
39	40	7	34	46
52	79	58	11	65
36	79	75	49	83
17	77	39	41	4
16	81	39	38	76
9	11	55	57	82
91	57	44	17	47
98	41	76	6	36
2	47	69	51	90
47	17	2	36	39
47	41	69	73	84
83	65	68	65	47
84	39	15	19	49
96	61	85	47	8
47	7	10	50	48
44	84	41	87	62
49	58	24	74	56
